index,C00960,C00170,A03070,C00710,A03450,C00030
2018-03-25,167852.0,102185.0,171954,100734,49984,10283
2018-04-01,156376.0,117641.0,175983,111582,63107,8053
2018-04-08,174689.0,128156.0,182176,116278,64443,10106
2018-04-15,124430.0,113316.0,204762,107416,61218,10520
2018-04-22,107637.0,119489.0,190414,116715,55163,12125
2018-04-29,119424.0,136687.0,164509,123167,54188,10682
2018-05-06,152935.0,121030.0,189951,116596,55952,8556
2018-05-13,193593.0,143344.0,185431,109331,47334,9461
2018-05-20,155341.0,129797.0,178109,101324,54295,10626
2018-05-27,163664.0,144832.0,144890,107644,42480,10859
2018-06-03,128122.0,153319.0,179893,108191,47671,12695
2018-06-10,163378.0,148725.0,165309,105534,46131,12303
2018-06-17,165487.0,151468.0,161598,108514,46184,10447
2018-06-24,170102.0,160110.0,190336,104405,40227,12086
2018-07-01,136310.0,138408.0,161705,102655,37407,7907
2018-07-08,176138.0,168022.0,185468,119937,49555,10106
2018-07-15,198868.0,155964.0,169414,106195,47885,12243
2018-07-22,187782.0,163809.0,174090,108037,39269,10063
2018-07-29,204487.0,159572.0,182590,107807,51204,9195
2018-08-05,190703.0,159393.0,170937,93102,48126,9935
2018-08-12,197852.0,163946.0,177440,105971,46091,10477
2018-08-19,210274.0,164775.0,167498,116176,50874,11547
2018-08-26,209534.0,175371.0,177016,103346,42003,7218
2018-09-02,203535.0,146792.0,166978,98017,29609,10756
2018-09-09,164283.0,160755.0,178701,113448,44230,8997
2018-09-16,169927.0,176511.0,197804,103044,48857,8486
2018-09-23,229550.0,180934.0,165459,108862,45813,8844
2018-09-30,225884.0,159597.0,180387,97138,47837,16508
2018-10-07,194799.0,157096.0,177362,97803,46163,9219
2018-10-14,187391.0,192775.0,188070,119015,51876,12427
2018-10-21,217092.0,197117.0,139737,117789,54301,10142
2018-10-28,190258.0,182344.0,172630,107344,51740,10123
2018-11-04,162169.0,144969.0,181116,94048,58616,9653
2018-11-11,140602.0,129815.0,187739,94384,49805,9974
2018-11-18,175182.0,137606.0,141067,110064,39273,9749
2018-11-25,148580.0,137213.0,159493,109306,39456,4739
2018-12-02,153778.0,137956.0,172005,102662,47110,8805
2018-12-09,154199.0,127839.0,156852,117513,47644,5251
2018-12-16,176635.0,125244.0,170582,132791,33618,4359
2018-12-23,126993.0,52346.0,108981,74657,24226,5530
2018-12-30,116502.0,85009.0,139398,78306,23766,7885
2019-01-06,140972.0,119652.0,164715,112374,42406,8540
2019-01-13,148847.0,129298.0,180208,105040,45520,5754
2019-01-20,152720.0,121069.0,165578,111747,53988,5983
2019-01-27,119794.0,122603.0,150432,90949,45732,8608
2019-02-03,132011.0,125724.0,172456,89161,41882,6787
2019-02-10,163103.0,116157.0,157376,84217,45637,7598
2019-02-17,168324.0,133737.0,160747,99760,45163,14426
2019-02-24,164471.0,125739.0,181247,103379,36087,7969
2019-03-03,181319.0002,128702.5,140209,96907,33595,7824
2019-03-10,184654.0,165152.0,180778,100161,35624,14493
2019-03-17,155506.0002,159711.0,174823,93609,42783,13547
2019-03-24,103476.0,137415.0,150521,100314,50481,10594
2019-03-31,135881.0,170413.5,158542,93171,32725,8645
2019-04-07,133781.0,151978.0,193693,86680,40466,12029
2019-04-14,105746.0,146617.5,177645,69813,31513,8609
