Date,Value
2015-01-31,142194.0
2015-02-28,139396.0
2015-03-31,134151.0
2015-04-30,131970.0
2015-05-31,132419.0
2015-06-30,137540.0
2015-07-31,141167.0
2015-08-31,142741.0
2015-09-30,136677.0
2015-10-31,138176.0
2015-11-30,138247.0
2015-12-31,138718.0
2016-01-31,138786.0
2016-02-29,135608.0
2016-03-31,131258.0
2016-04-30,130459.0
2016-05-31,119926.0
2016-06-30,127142.0
2016-07-31,137089.0
2016-08-31,138402.0
2016-09-30,140100.0
2016-10-31,141303.0
2016-11-30,145647.0
2016-12-31,146364.0
2017-01-31,149141.0
2017-02-28,148205.0
2017-03-31,146703.0
2017-04-30,146668.0
2017-05-31,149806.0
2017-06-30,149216.0
2017-07-31,151436.0
2017-08-31,150186.0
2017-09-30,150631.0
2017-10-31,146318.0
2017-11-30,147395.0
2017-12-31,151707.0
2018-01-31,148909.0
2018-02-28,153792.0
2018-03-31,157322.0
2018-04-30,156397.0
2018-05-31,160480.0
2018-06-30,159463.0
2018-07-31,162469.0
2018-08-31,162165.0
2018-09-30,159943.0
2018-10-31,160454.0
2018-11-30,158492.0
2018-12-31,155514.0
2019-01-31,151843.0
2019-02-28,149504.0
2019-03-31,155041.0
2019-04-30,165334.0
2019-05-31,163769.0
2019-06-30,162822.0
2019-07-31,156689.0
2019-08-31,156057.0
2019-09-30,155681.0
2019-10-31,155215.0
2019-11-30,154161.0
2019-12-31,155376.0
2020-01-31,157118.0
2020-02-29,158248.0
2020-03-31,153787.0
2020-04-30,138120.0
2020-05-31,139678.0
2020-06-30,133194.0
2020-07-31,136810.0
2020-08-31,133158.0
2020-09-30,139021.0
2020-10-31,139409.0
2020-11-30,144692.0
2020-12-31,149376.0
2021-01-31,153746.0
2021-02-28,149385.0
